TS,HA,Error,
124.0,4.0,1.998106477319773,
124.0,3.0,-1.5118935226802321,
124.0,2.0,2.0666869993908357,
124.0,1.0,-0.7221772798740957,
124.0,0.0,-0.9657469333754456,
125.0,10.0,-3.100731490154896,
125.0,9.0,-0.31041476813477686,
125.0,8.0,2.0534997203090626,
125.0,7.0,2.3700000000000045,
125.0,6.0,2.2886011297261852,
125.0,5.0,2.136479917604973,
125.0,4.0,-1.3735200823950287,
125.0,3.0,2.1466869993908375,
125.0,2.0,2.136479917604973,
125.0,1.0,-1.3735200823950287,
125.0,0.0,-1.3633130006091676,
126.0,10.0,0.0824073537820702,
126.0,9.0,0.010117914911045744,
126.0,8.0,-0.7632957732668864,
126.0,7.0,0.6146514655575146,
126.0,6.0,-1.2490192251491443,
126.0,5.0,-2.599187780858635,
126.0,4.0,-1.040438325723084,
126.0,3.0,-0.2644391778929496,
126.0,2.0,-0.2644391778929496,
126.0,1.0,-0.2644391778929496,
126.0,0.0,-0.2644391778929496,
127.0,10.0,0.133545779985365,
127.0,9.0,-0.08201959601603548,
127.0,8.0,-0.08201959601603548,
127.0,7.0,-0.08201959601603548,
127.0,6.0,-0.08201959601603548,
127.0,5.0,-0.08201959601603548,
127.0,4.0,-0.08201959601603548,
127.0,3.0,-0.08201959601603548,
127.0,2.0,-0.08201959601603548,
127.0,1.0,-0.08201959601603548,
127.0,0.0,-0.08201959601603548,
128.0,10.0,2.1179372313362563,
128.0,9.0,0.2893344029549283,
128.0,8.0,-0.8089746320922941,
128.0,7.0,-0.8089746320922941,
128.0,6.0,-0.8089746320922941,
128.0,5.0,-0.8089746320922941,
128.0,4.0,-0.8089746320922941,
128.0,3.0,-0.8089746320922941,
128.0,2.0,-0.8089746320922941,
128.0,1.0,-0.8089746320922941,
128.0,0.0,-0.8089746320922941,
129.0,10.0,1.3899629625972665,
129.0,9.0,-0.0641571687324074,
129.0,8.0,-0.0641571687324074,
129.0,7.0,-0.0641571687324074,
129.0,6.0,-0.0641571687324074,
129.0,5.0,-0.0641571687324074,
129.0,4.0,-0.0641571687324074,
129.0,3.0,-0.0641571687324074,
129.0,2.0,-0.0641571687324074,
129.0,1.0,-0.0641571687324074,
129.0,0.0,-0.0641571687324074,
130.0,10.0,0.5561753700488161,
130.0,9.0,-0.20508178730827353,
130.0,8.0,-0.2968704874982535,
130.0,7.0,-0.2968704874982535,
130.0,6.0,-0.2968704874982535,
130.0,5.0,-0.2968704874982535,
130.0,4.0,-0.2968704874982535,
130.0,3.0,-0.2968704874982535,
130.0,2.0,-0.2968704874982535,
130.0,1.0,-0.2968704874982535,
130.0,0.0,-0.2968704874982535,
131.0,10.0,1.3185845527094209,
131.0,9.0,-0.06508178730827296,
131.0,8.0,-0.15687048749825294,
131.0,7.0,-0.15687048749825294,
131.0,6.0,-0.15687048749825294,
131.0,5.0,-0.15687048749825294,
131.0,4.0,-0.15687048749825294,
131.0,3.0,-0.15687048749825294,
131.0,2.0,-0.15687048749825294,
131.0,1.0,-0.15687048749825294,
131.0,0.0,-0.15687048749825294,
132.0,10.0,1.3085845527094229,
132.0,9.0,-0.07508178730827453,
